date,value
2024-01-01,564
2024-01-01,652
2024-01-01,83
2024-01-01,930
2024-01-01,497
2024-01-01,314
2024-01-01,119
2024-01-01,643
2024-01-01,489
2024-01-01,80
2024-01-01,650
2024-01-01,677
2024-01-01,109
2024-01-01,152
2024-01-01,759
2024-01-01,103
2024-01-01,62
2024-01-01,277
2024-01-01,973
2024-01-01,306
2024-01-01,997
2024-01-01,101
2024-01-01,804
2024-01-01,692
2024-01-01,621
2024-01-01,333
2024-01-01,548
2024-01-01,316
2024-01-01,162
2024-01-01,983
2024-01-01,928
2024-01-01,739
2024-01-01,165
2024-01-01,513
2024-01-01,644
2024-01-01,9
2024-01-01,730
2024-01-01,747
2024-01-01,491
2024-01-01,173
2024-01-01,10
2024-01-01,733
2024-01-01,46
2024-01-01,556
2024-01-01,608
2024-01-01,424
2024-01-01,482
2024-01-01,585
2024-01-01,906
2024-01-01,258
2024-01-01,377
2024-01-01,202
2024-01-01,287
2024-01-01,413
2024-01-01,611
2024-01-01,939
2024-01-01,67
2024-01-01,559
2024-01-01,849
2024-01-01,163
2024-01-01,364
2024-01-01,370
2024-01-01,973
2024-01-01,102
2024-01-01,934
2024-01-01,808
2024-01-01,620
2024-01-01,560
2024-01-01,228
2024-01-01,894
2024-01-01,114
2024-01-01,746
2024-01-01,411
2024-01-01,613
2024-01-01,903
2024-01-01,793
2024-01-01,718
2024-01-01,393
2024-01-01,519
2024-01-01,812
2024-01-01,131
2024-01-01,822
2024-01-01,427
2024-01-01,183
2024-01-01,474
2024-01-01,478
2024-01-01,279
2024-01-01,534
2024-01-01,432
2024-01-01,112
2024-01-01,651
2024-01-01,282
2024-01-01,49
2024-01-01,501
2024-01-01,772
2024-01-01,696
2024-01-01,465
2024-01-01,384
2024-01-01,876
2024-01-01,66
2024-01-01,643
2024-01-01,694
2024-01-01,743
2024-01-01,389
2024-01-01,542
2024-01-01,227
2024-01-01,67
2024-01-01,930
2024-01-01,589
2024-01-01,920
2024-01-01,647
2024-01-01,66
2024-01-01,397
2024-01-01,580
2024-01-01,990
2024-01-01,715
2024-01-01,778
2024-01-01,516
2024-01-01,510
2024-01-01,150
2024-01-01,858
2024-01-01,686
2024-01-01,615
2024-01-01,386
2024-01-01,725
2024-01-01,437
2024-01-01,438
2024-01-01,126
2024-01-01,622
2024-01-01,464
2024-01-01,727
2024-01-01,779
2024-01-01,3
2024-01-01,609
2024-01-01,971
2024-01-01,604
2024-01-01,496
2024-01-01,998
2024-01-01,991
2024-01-01,373
2024-01-01,720
2024-01-01,314
2024-01-01,755
2024-01-01,322
2024-01-01,787
2024-01-01,347
2024-01-01,134
2024-01-01,408
2024-01-01,555
2024-01-01,377
2024-01-01,331
2024-01-01,344
2024-01-01,283
2024-01-01,528
